2019-12-14 02:25:23 INFO     Arguments:
2019-12-14 02:25:23 INFO     	dataset = voc2007-crack-corrosion
2019-12-14 02:25:23 INFO     	backbone = resnet101
2019-12-14 02:25:23 INFO     	data_dir = ./data
2019-12-14 02:25:23 INFO     	outputs_dir = ./outputs
2019-12-14 02:25:23 INFO     	resume_checkpoint = None
2019-12-14 02:25:23 INFO     	image_min_side = None
2019-12-14 02:25:23 INFO     	image_max_side = None
2019-12-14 02:25:23 INFO     	anchor_ratios = None
2019-12-14 02:25:23 INFO     	anchor_sizes = None
2019-12-14 02:25:23 INFO     	pooler_mode = None
2019-12-14 02:25:23 INFO     	rpn_pre_nms_top_n = None
2019-12-14 02:25:23 INFO     	rpn_post_nms_top_n = None
2019-12-14 02:25:23 INFO     	anchor_smooth_l1_loss_beta = None
2019-12-14 02:25:23 INFO     	proposal_smooth_l1_loss_beta = None
2019-12-14 02:25:23 INFO     	batch_size = 4
2019-12-14 02:25:23 INFO     	learning_rate = None
2019-12-14 02:25:23 INFO     	momentum = None
2019-12-14 02:25:23 INFO     	weight_decay = None
2019-12-14 02:25:23 INFO     	step_lr_sizes = None
2019-12-14 02:25:23 INFO     	step_lr_gamma = None
2019-12-14 02:25:23 INFO     	warm_up_factor = None
2019-12-14 02:25:23 INFO     	warm_up_num_iters = None
2019-12-14 02:25:23 INFO     	num_steps_to_display = None
2019-12-14 02:25:23 INFO     	num_steps_to_snapshot = None
2019-12-14 02:25:23 INFO     	num_steps_to_finish = None
2019-12-14 02:25:23 INFO     
Config:
	ANCHOR_RATIOS = [(1, 2), (1, 1), (2, 1)]
	ANCHOR_SIZES = [128, 256, 512]
	ANCHOR_SMOOTH_L1_LOSS_BETA = 1.0
	BATCH_SIZE = 4
	IMAGE_MAX_SIDE = 1000.0
	IMAGE_MIN_SIDE = 600.0
	LEARNING_RATE = 0.001
	MOMENTUM = 0.9
	NUM_STEPS_TO_DISPLAY = 20
	NUM_STEPS_TO_FINISH = 90000
	NUM_STEPS_TO_SNAPSHOT = 10000
	POOLER_MODE = Mode.ALIGN
	PROPOSAL_SMOOTH_L1_LOSS_BETA = 1.0
	RPN_POST_NMS_TOP_N = 2000
	RPN_PRE_NMS_TOP_N = 12000
	STEP_LR_GAMMA = 0.1
	STEP_LR_SIZES = [50000, 70000]
	WARM_UP_FACTOR = 0.3333
	WARM_UP_NUM_ITERS = 500
	WEIGHT_DECAY = 0.0005

2019-12-14 02:25:23 INFO     Found 218 samples
2019-12-14 02:25:26 INFO     Start training with 1 GPUs (4 batches per GPU)
path to data dir: ./data
dataset name: voc2007-crack-corrosion
choosing crack and corrosion dataset
<class 'dataset.voc2007_crack_corrosion.VOC2007CrackCorrosion'>
dataset name: voc2007-crack-corrosion
choosing crack and corrosion dataset
2019-12-14 02:25:41 INFO     [Step 20] Avg. Loss = 1.695288, Learning Rate = 0.00035997 (5.16 samples/sec; ETA 19.4 hrs)
2019-12-14 02:25:56 INFO     [Step 40] Avg. Loss = 1.519405, Learning Rate = 0.00038664 (5.35 samples/sec; ETA 18.7 hrs)
2019-12-14 02:26:12 INFO     [Step 60] Avg. Loss = 1.420178, Learning Rate = 0.00041330 (5.15 samples/sec; ETA 19.4 hrs)
2019-12-14 02:26:27 INFO     [Step 80] Avg. Loss = 1.384377, Learning Rate = 0.00043997 (5.23 samples/sec; ETA 19.1 hrs)
2019-12-14 02:26:42 INFO     [Step 100] Avg. Loss = 1.308020, Learning Rate = 0.00046664 (5.24 samples/sec; ETA 19.0 hrs)
2019-12-14 02:26:58 INFO     [Step 120] Avg. Loss = 1.160262, Learning Rate = 0.00049331 (5.11 samples/sec; ETA 19.5 hrs)
2019-12-14 02:27:13 INFO     [Step 140] Avg. Loss = 1.098029, Learning Rate = 0.00051998 (5.18 samples/sec; ETA 19.3 hrs)
2019-12-14 02:27:29 INFO     [Step 160] Avg. Loss = 1.030510, Learning Rate = 0.00054664 (5.23 samples/sec; ETA 19.1 hrs)
2019-12-14 02:27:44 INFO     [Step 180] Avg. Loss = 0.984474, Learning Rate = 0.00057331 (5.07 samples/sec; ETA 19.7 hrs)
2019-12-14 02:27:59 INFO     [Step 200] Avg. Loss = 0.973575, Learning Rate = 0.00059998 (5.30 samples/sec; ETA 18.8 hrs)
2019-12-14 02:28:15 INFO     [Step 220] Avg. Loss = 0.990126, Learning Rate = 0.00062665 (5.05 samples/sec; ETA 19.8 hrs)
2019-12-14 02:28:31 INFO     [Step 240] Avg. Loss = 0.972227, Learning Rate = 0.00065332 (5.20 samples/sec; ETA 19.2 hrs)
2019-12-14 02:28:46 INFO     [Step 260] Avg. Loss = 0.983992, Learning Rate = 0.00067998 (5.27 samples/sec; ETA 18.9 hrs)
2019-12-14 02:29:02 INFO     [Step 280] Avg. Loss = 0.977172, Learning Rate = 0.00070665 (5.07 samples/sec; ETA 19.7 hrs)
2019-12-14 02:29:17 INFO     [Step 300] Avg. Loss = 0.972986, Learning Rate = 0.00073332 (5.25 samples/sec; ETA 19.0 hrs)
2019-12-14 02:29:32 INFO     [Step 320] Avg. Loss = 0.964944, Learning Rate = 0.00075999 (5.23 samples/sec; ETA 19.0 hrs)
2019-12-14 02:29:48 INFO     [Step 340] Avg. Loss = 0.971388, Learning Rate = 0.00078666 (5.05 samples/sec; ETA 19.7 hrs)
2019-12-14 02:30:03 INFO     [Step 360] Avg. Loss = 0.968773, Learning Rate = 0.00081332 (5.24 samples/sec; ETA 19.0 hrs)
2019-12-14 02:30:19 INFO     [Step 380] Avg. Loss = 0.950914, Learning Rate = 0.00083999 (5.10 samples/sec; ETA 19.5 hrs)
2019-12-14 02:30:34 INFO     [Step 400] Avg. Loss = 0.944808, Learning Rate = 0.00086666 (5.18 samples/sec; ETA 19.2 hrs)
